"","Run","Covariance","Variance_V1","Variance_V2","Variance_V3","Variance_epsilon","Variance_gamma","Variance_total_marginal","Variance_total_conditional"
"Run: 13 Cov: high",13,0.9,0.283912330059617,0.297762510274885,0.30855852794197,0.0547096008577387,0.0548002518695759,0.890233368276472,0.945033620146048
"Run: 14 Cov: none",14,0,0.128380659898825,0.258995312274415,0.380849642388142,0.129858431975275,0.105430167333773,0.768225614561382,0.873655781895155
"Run: 14 Cov: low",14,0.1,0.145655200829526,0.262347350428055,0.376662387750693,0.1100730365197,0.101530205204952,0.784664939008275,0.886195144213228
"Run: 14 Cov: medium",14,0.5,0.225741241343031,0.287979726212475,0.345720172519706,0.0746482594739311,0.0727032030265016,0.859441140075212,0.932144343101714
"Run: 14 Cov: high",14,0.9,0.285943803393924,0.298582769304746,0.309745864788073,0.0552618247445467,0.0511268813195794,0.894272437486743,0.945399318806323
"Run: 15 Cov: none",15,0,0.127046654312114,0.250400439411358,0.37293556999918,0.126915212901369,0.125381925761532,0.750382663722652,0.875764589484185
"Run: 15 Cov: low",15,0.1,0.144509413347821,0.260936472779736,0.368491916192055,0.110031216096966,0.109638189998969,0.773937802319612,0.883575992318581
"Run: 15 Cov: medium",15,0.5,0.227712887049896,0.290343683043258,0.345589441386931,0.0717213543451505,0.0721826779026431,0.863646011480086,0.935828689382729
"Run: 15 Cov: high",15,0.9,0.280760874178204,0.292232476983744,0.301874685852927,0.053797460310491,0.0665819971344419,0.874868037014876,0.941450034149318
"Run: 16 Cov: none",16,0,0.132565035176636,0.243102790905544,0.386214935672241,0.129457626310188,0.109538277125907,0.761882761754421,0.871421038880329
"Run: 16 Cov: low",16,0.1,0.156949254715813,0.264290184801231,0.368258341456712,0.108269460767952,0.100039202480625,0.789497780973756,0.889536983454381
"Run: 16 Cov: medium",16,0.5,0.219362004215359,0.283420552160469,0.340068304177742,0.0714897780413249,0.0796878184669022,0.84285086055357,0.922538679020473
"Run: 16 Cov: high",16,0.9,0.290422103897495,0.299795690821028,0.311633799928265,0.0551939410713439,0.0469937421403934,0.901851594646788,0.948845336787181
"Run: 17 Cov: none",17,0,0.122300285146478,0.238559815676458,0.387677359922339,0.12450734921366,0.137206773753574,0.748537460745275,0.885744234498849
"Run: 17 Cov: low",17,0.1,0.150113370944397,0.252995570879515,0.370055207983299,0.110526525870839,0.109368089168125,0.773164149807211,0.882532238975337
"Run: 17 Cov: medium",17,0.5,0.224399704624005,0.288470900168575,0.355078153090461,0.0746164838980322,0.071394889140187,0.867948757883041,0.939343647023228
"Run: 17 Cov: high",17,0.9,0.283624151408975,0.297718157645117,0.306223223690499,0.0557024554851211,0.0589156128265872,0.887565532744591,0.946481145571178
"Run: 18 Cov: none",18,0,0.11939976651848,0.25733228790479,0.382266926838341,0.12255360274725,0.11811499686999,0.75899898126161,0.877113978131601
"Run: 18 Cov: low",18,0.1,0.147179475445589,0.26103723007812,0.368838389899727,0.109996439382342,0.112260146962005,0.777055095423436,0.889315242385441
"Run: 18 Cov: medium",18,0.5,0.220682756329112,0.286365095697132,0.345028560093978,0.0726342857008839,0.0784204012698446,0.852076412120222,0.930496813390067
"Run: 18 Cov: high",18,0.9,0.287213173642555,0.298575070162397,0.307459835677874,0.0536461508616684,0.0523508611043433,0.893248079482826,0.945598940587169
"Run: 19 Cov: none",19,0,0.122699005391245,0.251235838185596,0.38434295682042,0.123953857433504,0.118588552257675,0.75827780039726,0.876866352654935
"Run: 19 Cov: low",19,0.1,0.144410822578237,0.269450417515187,0.384232029561898,0.115325454929167,0.0957782978851793,0.798093269655322,0.893871567540501
"Run: 19 Cov: medium",19,0.5,0.222840797662832,0.292326098388209,0.34301588682335,0.0724343084428214,0.0657756870056757,0.858182782874391,0.923958469880067
"Run: 19 Cov: high",19,0.9,0.285233510560472,0.298113006757992,0.30630088783608,0.0545866512292703,0.0579057217954596,0.889647405154544,0.947553126950003
