"","Run","Covariance","Variance_V1","Variance_V2","Variance_V3","Variance_gamma","Variance_epsilon","Variance_total_marginal","Variance_total_conditional"
"Run: 11 Cov: medium",11,0.5,0.223684115813487,0.281309134712439,0.347073357520009,0.0773802340805088,0.0705531578735566,0.852066608045934,0.929446842126443
"Run: 11 Cov: high",11,0.9,0.285253889706826,0.299495854766544,0.306970940504633,0.0524880573149146,0.0557912577070829,0.891720684978002,0.944208742292917
"Run: 12 Cov: none",12,0,0.130465156178618,0.248328622862908,0.375457756044435,0.12068706697359,0.125061397940448,0.754251535085962,0.874938602059552
"Run: 12 Cov: low",12,0.1,0.148449482332473,0.266807341182565,0.376509822567191,0.100758038906873,0.107475315010899,0.791766646082228,0.892524684989101
"Run: 12 Cov: medium",12,0.5,0.227749952964229,0.288974924678267,0.342522038267636,0.0673213813345065,0.0734317027553612,0.859246915910132,0.926568297244639
"Run: 12 Cov: high",12,0.9,0.288235975937062,0.299625031836799,0.311390015664233,0.04453284209277,0.0562161344691361,0.899251023438094,0.943783865530864
"Run: 13 Cov: none",13,0,0.123546666982561,0.249669490381529,0.364672695762293,0.142664102217421,0.119447044656196,0.737888853126383,0.880552955343804
"Run: 13 Cov: low",13,0.1,0.14910985624497,0.257078872232008,0.384430775892207,0.0979580219519558,0.111422473678858,0.790619504369186,0.888577526321142
"Run: 13 Cov: medium",13,0.5,0.223436308119464,0.292076067436904,0.347290926313686,0.0634071293312966,0.0737895687986495,0.862803301870054,0.92621043120135
"Run: 13 Cov: high",13,0.9,0.285008306328779,0.297964824925307,0.308839977559111,0.0534386847890596,0.0547482063977428,0.891813108813198,0.945251793602257
"Run: 14 Cov: none",14,0,0.126966781467075,0.259510885047276,0.381072845770356,0.10305925820625,0.129390229509042,0.767550512284707,0.870609770490958
"Run: 14 Cov: low",14,0.1,0.145273154284883,0.265933641708971,0.375332445757767,0.102982307827406,0.110478450420973,0.786539241751621,0.889521549579027
"Run: 14 Cov: medium",14,0.5,0.224916494260737,0.285554642573535,0.346237734737489,0.0691362620955149,0.0741548663327241,0.856708871571761,0.925845133667276
"Run: 14 Cov: high",14,0.9,0.284948069696544,0.297965947249262,0.30984698999375,0.0519967956720364,0.055242197388408,0.892761006939556,0.944757802611592
"Run: 15 Cov: none",15,0,0.125840605100191,0.250902889653895,0.372615437428408,0.124091048381746,0.126550019435761,0.749358932182494,0.873449980564239
"Run: 15 Cov: low",15,0.1,0.146411026996797,0.262473396530327,0.367524427702172,0.112858153366754,0.11073299540395,0.776408851229296,0.88926700459605
"Run: 15 Cov: medium",15,0.5,0.226828150373884,0.288591362616203,0.344148549194861,0.0692424742617554,0.0711894635532966,0.859568062184948,0.928810536446703
"Run: 15 Cov: high",15,0.9,0.281450641345862,0.293189391156288,0.30305183774639,0.0682389057941635,0.0540692239572964,0.87769187024854,0.945930776042704
"Run: 16 Cov: none",16,0,0.133515576973664,0.242862034877676,0.385189822049774,0.109104201347391,0.129328364751495,0.761567433901114,0.870671635248505
"Run: 16 Cov: low",16,0.1,0.158352394006539,0.259381290457541,0.370519775990012,0.103245479156291,0.108501060389616,0.788253460454093,0.891498939610384
"Run: 16 Cov: medium",16,0.5,0.21994498936636,0.283440804079022,0.340943042815064,0.0837483572050662,0.0719228065344877,0.844328836260446,0.928077193465512
"Run: 16 Cov: high",16,0.9,0.289952555976453,0.298983637477841,0.311355831740259,0.0447279368367833,0.054980037968664,0.900292025194553,0.945019962031336
"Run: 17 Cov: none",17,0,0.123569560221372,0.236214102473643,0.38419545206269,0.132807937544291,0.123212947698004,0.743979114757705,0.876787052301996
"Run: 17 Cov: low",17,0.1,0.150368633152395,0.250753535530554,0.375600781144908,0.111984023097415,0.111293027074728,0.776722949827857,0.888706972925272
"Run: 17 Cov: medium",17,0.5,0.221527476452314,0.286033903146777,0.352723661226837,0.0661150738696344,0.073599885304438,0.860285040825928,0.926400114695562
"Run: 17 Cov: high",17,0.9,0.283875951863095,0.297819629915325,0.305488057912641,0.0572118250678664,0.0556045352410731,0.887183639691061,0.944395464758927
"Run: 18 Cov: none",18,0,0.119577690971299,0.256176917624948,0.38455783466779,0.117110775901919,0.122576780834044,0.760312443264037,0.877423219165956
"Run: 18 Cov: low",18,0.1,0.147026312591976,0.263058008008439,0.36639390912231,0.113457831860657,0.110063938416618,0.776478229722725,0.889936061583382
